person_id,name,name_pinyin,dynasty,birth_year,death_year,index_year,aliases,statuses,place,x_coord,y_coord,n_poems,layers,corpus_names,in_mqww,cbdb_notes,supplement
39816,朱淑真,Zhu Shuzhen,宋,1095,1131,1095,幽棲居士(号),詞人,錢塘,120.168625,30.294125,373,A/B,朱淑真,1,,
521382,顧太清,Gu Taiqing,清,,,1802,,,,,,364,B,顾太清,0,,
54620,吳藻,Wu Zao,清,1799,1862,1799,玉岑子(号) / 蘋香(字),詩人,黟縣,117.93021393,29.933116913,295,B,吴藻,1,,
56573,柳是,Liu Shi,清,1618,1664,1618,半野草堂(号) / 如是(字) / 影憐(字) / 惜依(号) / 惠香居(号) / 惠香閣(号) / 我聞室(号) / 我聞居士(号) / 柳影憐(别名) / 柳隱(别名) / 柳隱雯(别名) / 楊因 / 楊愛(别名) / 楊愛兒 / 楊朝 / 楊隱 / 楊隱柳(别名) / 河東君(号) / 河東夫人(号) / 秋水閣(号) / 糜蕪(号) / 紅豆村莊(号) / 絳雲樓(号) / 美人 / 蕪靡君(号) / 蘼蕪(号) / 隱斐 / 青寄(号) / 鴛鴦樓(号),,吳江,120.637787,31.167065,228,B,柳是,1,"《清代人物生卒年表》定其生卒年為萬曆46年~康熙3年。 【參考《清代人物生卒年表》#16809.】 ""【參考資料: MQWW PoetID #998, HuWenKai #430.】"" ",
56124,沈宜修,Shen Yixiu,明,1590,1635,1590,宛君(字),,,,,196,B,沈宜修,1,,
55442,熊璉,Xiong Lian,清,1766,1820,1766,商珍(字) / 澹僊(号) / 陳生(小字),,,,,177,B,熊琏,1,,
55033,趙我佩,Zhao Wopei,清,1821,1861,1821,君蘭(字),,,,,172,B,赵我佩,1,,
55022,顧貞立,Gu Zhenli,清,1623,1699,1623,碧汾(字) / 避秦人(号) / 顧文婉(别名),,無錫,120.29766846,31.574613571,166,B,顾文婉/顾贞立,1,《清代人物生卒年表》定其生卒年為天啟3年~康熙38年。 【參考《清代人物生卒年表》#18508.】 ,
54329,袁綬,Yuan Shou,清,1795,1867,1795,瑤華主人 / 紫卿(字),,江寧,118.76898956,32.052562714,149,B,袁绶,1,《清代人物生卒年表》定其生卒年為乾隆60年~？。 【參考《清代人物生卒年表》#17970.】 ,
106978,張玉娘,Zhang Yuniang,元,,,,一貞居士(号) / 若瓊(字),,松陽,119.485344,28.450748,139,A/B,张玉娘/張玉孃,0,,
566553,張喬,Zhang Qiao,明,,,,,,廣州府,113.25606537,23.134624481,129,B,张乔,0,,
55378,談印梅,Tan Yinmei,清,1791,1820,1791,緗卿(字),,歸安,120.09931183,30.864963531,116,B,谈印梅,1,《清代人物生卒年表》定其生卒年為乾隆56年~？。 【參考《清代人物生卒年表》#20301.】 ,
55985,張玉珍,Zhang Yuzhen,清,1766,1820,1766,藍生(字),,,,,115,B,张玉珍,1,,
69666,張令儀,Zhang Lingyi,清,1671,1724,1671,柔嘉(字) / 蠹窗主人(号),戲曲作家,桐城,116.93860626,31.052280426,108,B,张令仪,1,,
19713,李清照,Li Qingzhao,宋,1084,1155,1084,易安居士(号),詩人 / 詞人 / 好金石 / 士人,歷城,117.00148773,36.650131226,104,A/B,李清照,0,"Li(2) Qingzhao [19713] She was a poet and in Shaoxing period presented the archeological work of her husband, Zhao(1) Mingcheng [19714] (q.v.), at court. She took the hao, Yian jushi and was more than",
56140,葉小鸞,Ye Xiaoluan,明,1616,1632,1616,瑤期(字) / 瑶期(字) / 瓊章(字),詩人,吳江,120.637787,31.167065,104,B,叶小鸾,1,,
55338,孫雲鳳,Sun Yunfeng,清,1764,1814,1764,碧梧(字),,仁和,120.16862488,30.294124603,104,B,孙云凤,1,《清代人物生卒年表》定其生卒年為乾隆29年~嘉慶19年。 【參考《清代人物生卒年表》#6551.】 ,
567603,李長霞,Li Zhangxia,清,,,,德霄(字) / 錡齋(号),,掖縣,119.93800354,37.175430298,103,B,李长霞,0,,
54581,李佩金,Li Peijin,清,1775,1805,1775,秋雁詩人(别名) / 紉蘭(字),,,,,100,B,李佩金,1,《女性詞史》（山東教育出版社）339頁。 ,
54845,徐燦,Xu Can,清,1610,1678,1610,明深(字) / 湘蘋(字) / 紫䇾(号),畫家 / 詩人,吳縣,120.618622,31.31271,100,B,徐灿,1,,
95068,薛濤,Xue Tao,唐,770,832,770,女校書(号) / 洪度(字),書法家 / 詩人 / 文人,長安,108.90698242,34.246421814,99,A/B,薛涛/薛濤,1,《唐代人物知識ベース》記其生卒年為：不明 - 832. ,
55072,莊盤珠,Zhuang Panzhu,清,1772,1796,1772,蓮佩(字),詩人 / 詞人,武進,119.95230103,31.782783508,99,B,庄盘珠,1,,
55540,左錫嘉,Zuo Xijia,清,1831,1895,1831,冰如(号) / 冷吟仙館(号) / 冷雲仙館(号) / 婉芬(字) / 小雲 / 小雲(字) / 浣芬(号) / 韻卿(字),,陽湖,119.95230103,31.782783508,98,B,左锡嘉,1,《清代人物生卒年表》定其生卒年為道光11年~光緒21年。 【參考《清代人物生卒年表》#2901.】 ,
55978,劉琬懷,Liu Wanhuai,清,1755,1820,1755,撰芳(号) / 韞如(字),詩人,,,,97,B,刘琬怀,1,,
56106,俞慶曾,Yu Qingzeng,清,1865,1897,1865,吉初(字) / 琴愔,,德清,120.08480072,30.553133011,82,B,俞庆曾,1,《清代人物生卒年表》定其生卒年為同治4年~光緒23年。 【參考《清代人物生卒年表》#17087.】 ,
54921,蘇穆,Su Mu,清,1796,1850,1796,佩蘘(字) / 蘇姞(别名),,,,,82,B,苏穆,1,,
54567,楊芸,Yang Yun,清,1774,1830,1774,蕊淵(字),,金匱,120.29766846,31.574613571,78,B,杨芸,1,《清代人物生卒年表》定其生卒年為乾隆39年~道光10年。 【參考《清代人物生卒年表》#7166.】 ,
54395,王采薇,Wang Caiwei,清,1753,1776,1753,玉珍(字) / 玉瑛,詩人 / 史學家 / 佛教之俗家弟子,武進,119.95230103,31.782783508,78,B,王采薇,1,《清代人物生卒年表》定其生卒年為乾隆18年~乾隆41年。 【參考《清代人物生卒年表》#1528.】 ,
55240,許德蘋,Xu Depin,清,1826,1861,1826,採白仟子 / 采白仙子(号) / 采石白仙子(号) / 香濱(字) / 香賓(字),,吳縣,120.618622,31.31271,77,B,许德蘋,1,《清代人物生卒年表》定其生卒年為道光6年~咸豐11年。 【參考《清代人物生卒年表》#6355.】 ,
54123,吳綃,Wu Xiao,清,1623,1660,1623,冰仙(字) / 素公(字) / 素君(号),畫家,蘇州府,120.61862183,31.312709808,75,B,吴绡,1,,
55921,鄧瑜,Deng Yu,清,1843,1901,1843,慧珏 / 慧珏(字) / 蕉窗主人,,金匱,120.29766846,31.574613571,69,B,邓瑜,1,《清代人物生卒年表》定其生卒年為道光23年~光緒27年。 【參考《清代人物生卒年表》#2637.】 ,
54671,曹慎儀,Cao Shenyi,清,1780,1848,1780,叔惠 / 叔蕙(字),,新建,115.89772034,28.67489624,68,B,曹慎仪,1,《清代人物生卒年表》定其生卒年為乾隆45年~道光28年。 【參考《清代人物生卒年表》#21229.】 ,
55108,關鍈,Guan Ying,清,1822,1857,1822,妙妙道人(号) / 秋芙(字),,錢塘,120.16862488,30.294124603,63,B,关锳,1,《清代人物生卒年表》定其生卒年為道光2年~咸豐7年。 【參考《清代人物生卒年表》#5866.】 ,
54589,顧翎,Gu Ling,清,1778,1849,1778,羽素(字),,無錫,120.29766846,31.574613571,62,B,顾翎,1,《清代人物生卒年表》定其生卒年為乾隆43年~道光29年。 【參考《清代人物生卒年表》#18424.】 ,
54649,沈善寶,Shen Shanbao,清,1808,1862,1808,湘佩(字) / 西湖散人,,錢塘,120.16862488,30.294124603,59,B,沈善宝,1,《清代人物生卒年表》定其生卒年為嘉慶13年~同治1年。 【參考《清代人物生卒年表》#10951.】 ,
54106,宗婉,Zong Wan,清,1810,1908,1810,婉生(字),,常熟,120.733788,31.646582,58,B,宗婉,1,《清代人物生卒年表》定其生卒年為嘉慶15年~？。 【參考《清代人物生卒年表》#15740.】 ,
93663,武曌(武則天),Wu Zhao (Wu Zetian),唐,624,705,624,則天大聖皇帝 / 則天大聖皇后(谥号) / 則天順聖皇后(谥号) / 大聖天后 / 天冊金輪聖神皇帝 / 天后 / 慈氏越古金輪聖神皇帝 / 武則天 / 武媚 / 聖帝天后 / 聖母神皇 / 聖神皇帝 / 越古金輪聖神皇帝 / 金輪聖神皇帝,比丘尼 / 工於文 / [皇后] / [皇帝],文水,112.02419281,37.436981201,56,A/B,則天皇后/武则天/武則天/武曌,0,《唐代人物知識ベース》記其生卒年為：624 - 705.,
55048,商景蘭,Shang Jinglan,清,1605,1680,1605,媚生(字) / 眉生(字),,會稽,120.57826233,30.004514694,56,B,商景兰,1,《清代人物生卒年表》定其生卒年為萬曆33年~？。 《清代人物生卒年表》原注：「商景蘭生年或作萬曆三十二年（1604），恐非是。其 《五十自敘》詩云：『歲甲午十月，我年當五十。』甲午為順治十一年（1654），本書即以此推定其生年。」 【參考《清代人物生卒年表》#21706.】 ,
54938,江瑛,Jiang Ying,清,1836,1874,1836,蕋珊(字),,,,,56,B,江瑛,1,,
118832,景翩翩,Jing  Pianpian,明,,,,三昧(字) / 景遙(别名) / 翩翩(字),,,,,54,B,景翩翩,1,,
55810,阮恩灤,Ruan Enluan,清,1831,1854,1831,媚川(字),,儀徵,119.17762756,32.267543793,53,B,阮恩滦,1,《清代人物生卒年表》定其生卒年為道光11年~咸豐4年。 【參考《清代人物生卒年表》#6406.】 ,
56134,葉紈紈,Ye Wanwan,明,1610,1633,1610,昭齊(字),,,,,53,B,叶纨纨,1,,
